user_id,history
107,"To Catch a Thief - Searchers, The - East of Eden"
108,Best in Show - Barenaked in America - Meet the Parents
109,E.T. the Extra-Terrestrial - Small Soldiers - 2001: A Space Odyssey
110,"Hellraiser - Airplane II: The Sequel - Skulls, The"
111,"Muriel's Wedding - World Is Not Enough, The - Austin Powers: International Man of Mystery"
112,Blood Simple - Shadow of a Doubt - L.A. Confidential
113,Beyond the Mat - Big Momma's House - Mission: Impossible 2
114,"Star Wars: Episode IV - A New Hope - Invasion of the Body Snatchers - Clockwork Orange, A"
115,"Hellbound: Hellraiser II - Lost World: Jurassic Park, The - Friday the 13th Part 3: 3D"
116,Predator - Dogma - Die Hard 2
117,Phantasm - Beneath the Planet of the Apes - Voyage to the Bottom of the Sea
118,Mister Roberts - Caddyshack - Sixteen Candles
119,Angels in the Outfield - 101 Dalmatians - Small Soldiers
120,"Risky Business - Die Hard - Fugitive, The"
121,Starship Troopers - Tron - Spaceballs
122,"Jaws - Rocketeer, The - Rambo: First Blood Part II"
123,"Few Good Men, A - Dave - Rope"
124,"Crying Game, The - Grifters, The"
125,"Lethal Weapon - Fistful of Dollars, A - In the Line of Fire"
126,"Room with a View, A - Say Anything... - William Shakespeare's Romeo and Juliet"
127,Jaws - Ben-Hur - Raiders of the Lost Ark
128,Chicken Run - Fantasia 2000
129,Star Trek: The Wrath of Khan - Fantastic Voyage - Willy Wonka and the Chocolate Factory
130,On Her Majesty's Secret Service - Bloodsport - Superman
131,"Clockers - Piano, The - Trial, The (Le Procès)"
132,"Mystery Science Theater 3000: The Movie - Muppets Take Manhattan, The - Pecker"
133,"Stir of Echoes - Thomas Crown Affair, The - Pretty Woman"
134,Money Train - Bird on a Wire - Cutthroat Island
135,"Thirteenth Floor, The - Thomas Crown Affair, The - Toy Story 2"
136,"Hudsucker Proxy, The - Willy Wonka and the Chocolate Factory - East is East"
137,"Message in a Bottle - Twister - Man in the Iron Mask, The"
138,"Sneakers - Professional, The (a.k.a. Leon: The Professional) - Lethal Weapon"
139,"Exorcist, The - Nightmare on Elm Street, A - Gremlins"
140,Fantasia - American Psycho - Star Wars: Episode IV - A New Hope
141,"Thin Man, The - Third Man, The"
142,"Silence of the Lambs, The - Star Wars: Episode V - The Empire Strikes Back - Wizard of Oz, The"
143,"Commitments, The - Bulworth - Austin Powers: International Man of Mystery"
144,"Rocketeer, The - Back to the Future Part III - Honey, I Blew Up the Kid"
145,Run Lola Run (Lola rennt) - Shakespeare in Love - Rushmore
146,"Out of Africa - Object of My Affection, The - While You Were Sleeping"
147,"Thomas Crown Affair, The - Suicide Kings - William Shakespeare's Romeo and Juliet"
148,Just Cause - Harriet the Spy - Casper
149,"Truth About Cats & Dogs, The - Jason's Lyric - Original Kings of Comedy, The"
150,"American Graffiti - Sting, The - Close Encounters of the Third Kind"
151,"Time Regained (Le Temps Retrouvé) - Drowning Mona - Replacements, The"
152,Airplane! - Election
153,"Sixth Sense, The - Superstar - Spice World"
154,"Galaxy Quest - Bridge on the River Kwai, The - Touch of Evil"
155,"Mirror, The (Zerkalo) - Saving Private Ryan - Once Upon a Time in America"
156,"Murder at 1600 - Morning After, The - Sommersby"
157,"Maltese Falcon, The - Chinatown - Double Indemnity"
158,"Chinatown - Godfather, The"
159,"Ghostbusters - Gladiator - Patriot, The"
160,Remember the Titans - Hamlet
161,"High Fidelity - Parenthood - Gods Must Be Crazy, The"
162,Shaft - Nutty Professor II: The Klumps - Toy Story
163,"Arlington Road - Astronaut's Wife, The - Austin Powers: The Spy Who Shagged Me"
164,"Blast from the Past - Charade - Treasure of the Sierra Madre, The"
165,Pajama Party - Blackbeard's Ghost - Beach Party
166,"Ace Ventura: Pet Detective - 'burbs, The - Funny Farm"
167,"Gods Must Be Crazy, The - Golden Child, The - Good Morning, Vietnam"
168,Toy Story - Robocop - Aladdin
169,"Jackie Brown - Blue Angel, The (Blaue Engel, Der) - Pretty Woman"
170,"American Pie - 13th Warrior, The - Arachnophobia"
171,Unzipped - Everest
172,Blood Simple - Strangers on a Train
173,"Risky Business - Cinema Paradiso - Breakfast Club, The"
174,"Escape from New York - Man with the Golden Gun, The - Star Trek III: The Search for Spock"
175,"Iron Giant, The - Gods and Monsters - Jerry Maguire"
176,Jumpin' Jack Flash - Burglar - Harry and the Hendersons
177,"Alien - Sling Blade - Sixth Sense, The"
178,"Fistful of Dollars, A - Butch Cassidy and the Sundance Kid - Hud"
179,"Coneheads - Lost in Space - Net, The"
180,My Dog Skip - Saving Grace - Scary Movie
181,"Color of Money, The - Color Purple, The - School Daze"
182,"Young Guns II - Pulp Fiction - Usual Suspects, The"
183,Fatal Attraction - Independence Day (ID4) - Predator
184,"Sleeping Beauty - Little Mermaid, The - Tarzan"
185,"Last Action Hero - Saint, The - Lost World: Jurassic Park, The"
186,"Idle Hands - House on Haunted Hill, The - Lake Placid"
187,"Washington Square - Picture Bride - Mask, The"
188,"Red Violin, The (Le Violon rouge) - Pushing Tin - Rushmore"
189,Kids - Swing Kids - Good Will Hunting
190,"Secret of NIMH, The - Big Lebowski, The - Ghost Dog: The Way of the Samurai"
191,"Being John Malkovich - Big - Big Lebowski, The"
192,Spawn - Double Team - Anaconda
193,Star Trek: The Wrath of Khan - King Kong - Jurassic Park
194,"Santa Clause, The - My Best Friend's Wedding - Naked Gun 2 1/2: The Smell of Fear, The"
195,I Am Cuba (Soy Cuba/Ya Kuba) - Blood Simple - Rambo: First Blood Part II
196,"Rear Window - Vertigo - Terminator, The"
197,"Age of Innocence, The - Jerry Maguire"
198,Alive - Ransom - Primary Colors
199,"Cliffhanger - River Wild, The - Jackal, The"
200,Condorman - Dick - Doctor Dolittle
201,"Big Kahuna, The - Wonder Boys - Return to Me"
202,"Naked Gun 33 1/3: The Final Insult - 28 Days - 'burbs, The"
203,"Nell - Newton Boys, The - Bringing Out the Dead"
204,"Mad Max - Quiz Show - Nightmare on Elm Street, A"
205,"Seven Samurai (The Magnificent Seven) (Shichinin no samurai) - Godfather, The - Seventh Seal, The (Sjunde inseglet, Det)"
206,Akira - Aliens - 2001: A Space Odyssey
207,Rules of Engagement - She's the One
208,One False Move - Witness - Frenzy
209,Exotica - Elizabeth
210,Boiling Point - Under Siege 2: Dark Territory - Wild Wild West
211,Hellbound: Hellraiser II - Pitch Black - Friday the 13th Part 3: 3D
212,"Mrs. Doubtfire - Dumb & Dumber - Mask, The"
213,"Midsummer Night's Dream, A - Men in Black"
214,"Airheads - Six Days Seven Nights - Waterboy, The"
215,X-Men - Titan A.E. - Mission to Mars
216,"Boiler Room - Soldier's Story, A - Smoke"
217,Mission to Mars - Titan A.E.
218,"Thomas Crown Affair, The - Wild Wild West - Who Framed Roger Rabbit?"
219,"Eyes Wide Shut - General's Daughter, The - Kingpin"
220,"Mission: Impossible - Client, The - Manhattan Murder Mystery"
221,Mortal Thoughts - Misery - Scream
222,Autumn in New York - Romeo Must Die - Gladiator
223,Powder - Instinct - Showgirls
224,Rear Window - Schindler's List - Run Lola Run (Lola rennt)
225,Any Given Sunday - Go Fish - Trick
226,"Sex, Lies, and Videotape - Ghostbusters"
227,"Run Lola Run (Lola rennt) - Shakespeare in Love - Sixth Sense, The"
228,Erin Brockovich - Frequency - Titan A.E.
229,Johnny Mnemonic - History of the World: Part I - Hoosiers
230,"Force 10 from Navarone - Bananas - Poseidon Adventure, The"
231,"No Way Out - Close Shave, A - Toy Story 2"
232,"Flirting With Disaster - Birdcage, The - Pleasantville"
233,"Awakenings - Shawshank Redemption, The - Saving Private Ryan"
234,"Chinatown - Gandhi - Time to Kill, A"
235,Willow - Jack and Sarah - And the Ship Sails On (E la nave va)
236,"Abyss, The - Fugitive, The - X-Men"
237,"Dead Poets Society - Gods Must Be Crazy, The - Wedding Singer, The"
238,Angels and Insects - Papillon - American Buffalo
239,Hurlyburly - Requiem for a Dream - Almost Famous
240,"Three Kings - Good Morning, Vietnam - South Pacific"
241,"Heat - Corruptor, The - Limey, The"
242,Amistad - Mommie Dearest - Any Given Sunday
243,Ferris Bueller's Day Off - Swingers - Back to the Future
244,Splash - Big - Moonstruck
245,"Halloween - Scream - Nightmare on Elm Street, A"
246,"As Good As It Gets - Brady Bunch Movie, The - Airplane!"
247,Full Metal Jacket - Dangerous Liaisons - Babe
248,Speed - Die Hard 2 - Frequency
249,"That Thing You Do! - Streetcar Named Desire, A - Willy Wonka and the Chocolate Factory"
250,"Airplane II: The Sequel - Lost World: Jurassic Park, The"
251,"Hunt for Red October, The - Patriot Games - Die Hard 2"
252,Hard Target - Chicken Run - Best in Show
253,Three Colors: White - Fargo - American Movie
254,Blood For Dracula (Andy Warhol's Dracula) - Carrie
255,X-Men - Wyatt Earp - Young Guns
256,Natural Born Killers - G.I. Jane - Independence Day (ID4)
257,"American Beauty - Pest, The - Shakespeare in Love"
258,Patriot Games - Witness - No Way Out
259,Chicken Run - Butterfly (La Lengua de las Mariposas) - Die Hard
260,End of Days - Batman & Robin - Air America
261,Robin Hood: Prince of Thieves - Hot Shots! Part Deux - Runaway
262,"Santa Clause, The - Tron - Escape to Witch Mountain"
263,"Gattaca - Abyss, The - Men in Black"
264,"Sword in the Stone, The - There's Something About Mary - Teenage Mutant Ninja Turtles"
265,"African Queen, The - Like Water for Chocolate (Como agua para chocolate) - Graduate, The"
266,Butch Cassidy and the Sundance Kid - Arsenic and Old Lace - Saving Private Ryan
267,"Mission: Impossible 2 - Whole Nine Yards, The - Conversation, The"
268,"NeverEnding Story, The - Working Girl - Big"
269,"King of the Hill - Poseidon Adventure, The - Scary Movie"
270,King Kong - Around the World in 80 Days - Stand by Me
271,"Romy and Michele's High School Reunion - Running Man, The - Spawn"
272,"View to a Kill, A - Top Gun - First Blood"
273,"Honey, I Shrunk the Kids - NeverEnding Story III, The - Teenage Mutant Ninja Turtles II: The Secret of the Ooze"
274,Godzilla - Chinatown - Laura
275,Sixteen Candles - F/X - Lucas
276,Jurassic Park - Mission: Impossible
277,Star Wars: Episode I - The Phantom Menace - Total Recall
278,"Return of the Texas Chainsaw Massacre, The - Class of Nuke 'Em High - Exorcist II: The Heretic"
279,"Heartbreak Ridge - Red Dawn - Thin Red Line, The"
280,"Hard Day's Night, A - Blues Brothers, The - Airplane!"
281,Angels and Insects - Scream - Total Recall
282,"Pelican Brief, The - Outbreak - Cujo"
283,"Godfather, The - Mission: Impossible - Star Wars: Episode I - The Phantom Menace"
284,"Fly, The - Starship Troopers - Predator 2"
285,Vertigo - Speed - As Good As It Gets
286,Raiders of the Lost Ark - Star Wars: Episode IV - A New Hope - Chicken Run
287,"Green Mile, The - English Patient, The - Nobody's Fool"
288,Face/Off - Speed - True Lies
289,"Guns of Navarone, The - Fistful of Dollars, A - Army of Darkness"
290,Emma - L.A. Story - So I Married an Axe Murderer
291,"Rocky - Room with a View, A - Sex, Lies, and Videotape"
292,Sphere - Mystery Science Theater 3000: The Movie - Species
293,Lethal Weapon 3 - Relax... It's Just Sex - Girlfight
294,"Bug's Life, A - So I Married an Axe Murderer - Truth About Cats & Dogs, The"
295,"Palmetto - Hitch-Hiker, The - City Lights"
296,"Birds, The - Dracula - Frighteners, The"
297,Eat Drink Man Woman - Pleasantville - Smoke Signals
298,Rosemary's Baby - Return to Me - Legends of the Fall
299,Pulp Fiction - Lawrence of Arabia - Rebecca
300,"Star Wars: Episode I - The Phantom Menace - Godfather: Part III, The - Backdraft"
301,BASEketball - Back to the Future Part III - Wayne's World 2
302,Alien - King Kong - Poltergeist
303,When Harry Met Sally... - Moonstruck - Clueless
304,"Killing, The - Asphalt Jungle, The - Hitch-Hiker, The"
305,"Help! - Hunchback of Notre Dame, The - Song of the South"
306,Boiler Room - U-571 - Final Destination
307,Stalag 17 - Three Kings - Breaking Away
308,Broken Arrow - Twister - Tommy Boy
309,"October Sky - Indiana Jones and the Last Crusade - Last Emperor, The"
310,Homeward Bound II: Lost in San Francisco - Home Alone 2: Lost in New York - Inspector Gadget
311,Star Wars: Episode IV - A New Hope - Star Wars: Episode V - The Empire Strikes Back
312,"Bonnie and Clyde - Sting, The - Being There"
313,Jurassic Park - From Dusk Till Dawn - Donnie Brasco
314,"All About Eve - Philadelphia Story, The - It's a Wonderful Life"
315,"From Russia with Love - Lost World: Jurassic Park, The"
316,Star Trek: The Motion Picture - Parasite - Alien³
317,"M*A*S*H - Bank Dick, The"
318,"Shakespeare in Love - Secret of Roan Inish, The"
319,"It's a Wonderful Life - Gone with the Wind - Insider, The"
320,Legends of the Fall - U-571
321,Enemy of the State - Die Hard 2 - Stir of Echoes
322,American Beauty - American Graffiti - Tom Jones
323,Toy Story 2 - Wild Wild West - Who Framed Roger Rabbit?
324,Sleeping Beauty - Little Shop of Horrors - Anastasia
325,"Grumpier Old Men - Beverly Hillbillies, The - Striptease"
326,"My Favorite Season - Godfather: Part II, The - Inherit the Wind"
327,"Filth and the Fury, The - Cup, The (Phörpa) - Life and Times of Hank Greenberg, The"
328,"Mystery Men - Dick Tracy - Saint, The"
329,"Big Trouble in Little China - Little Shop of Horrors, The - Scrooged"
330,"Mission: Impossible 2 - Skulls, The - Nutty Professor II: The Klumps"
331,"Robocop - Batman - Untouchables, The"
332,"Simple Plan, A - Matrix, The - Topsy-Turvy"
333,Guess Who's Coming to Dinner - Father of the Bride - Ferris Bueller's Day Off
334,"Prince of Tides, The - Man in the Iron Mask, The - Jane Eyre"
335,"Blade Runner - Good, The Bad and The Ugly, The - One Flew Over the Cuckoo's Nest"
336,"Escape from L.A. - Fly II, The - Return from Witch Mountain"
337,Hackers - Mission: Impossible - Outbreak
338,"Sting, The - Breaking Away - Guns of Navarone, The"
339,"People vs. Larry Flynt, The - Simon Birch - English Patient, The"
340,"Titanic - Taming of the Shrew, The - Boogie Nights"
341,Hard-Boiled (Lashou shentan) - Run Lola Run (Lola rennt)
342,Jurassic Park - Starman - Robocop
343,"Stigmata - Strictly Ballroom - Story of G.I. Joe, The"
344,"Pushing Tin - Poseidon Adventure, The - Sixth Sense, The"
345,"Room with a View, A - Almost Famous"
346,"E.T. the Extra-Terrestrial - Buddy Holly Story, The - Natural, The"
347,Tender Mercies - American History X - Pulp Fiction
348,"Rob Roy - Run Silent, Run Deep - Where Eagles Dare"
349,Full Metal Jacket - Friday - Taxi Driver
350,"Rocketeer, The - Indian in the Cupboard, The - Mystery Men"
351,"World Is Not Enough, The - Top Gun - Jackie Chan's First Strike"
352,"Snake Eyes - Waterboy, The - Coneheads"
353,"Sixth Sense, The - Silence of the Lambs, The"
354,"Sixth Sense, The - Secret of Roan Inish, The - Stuart Little"
355,"Die Hard - Dr. No - Mask of Zorro, The"
356,Instinct - Galaxy Quest
357,"NeverEnding Story II: The Next Chapter, The - 101 Dalmatians - 13th Warrior, The"
358,"20,000 Leagues Under the Sea - Manchurian Candidate, The - Who Framed Roger Rabbit?"
359,"Logan's Run - X-Files: Fight the Future, The - American Beauty"
360,"Miracle on 34th Street - Toy Story 2 - Fugitive, The"
361,Return to Me - Best in Show - Requiem for a Dream
362,Star Trek VI: The Undiscovered Country - Men in Black - True Romance
363,Mission: Impossible - 28 Days - From Dusk Till Dawn
364,"Shakespeare in Love - Talented Mr. Ripley, The - Thomas Crown Affair, The"
365,Excess Baggage - Mickey Blue Eyes - Six Days Seven Nights
366,"Carnal Knowledge - Client, The - White Squall"
367,"Cinema Paradiso - Graduate, The - Bound"
368,"Hollow Man - Bridge on the River Kwai, The - Lawrence of Arabia"
369,"Good Morning, Vietnam - Romy and Michele's High School Reunion - Home Alone"
370,Toy Story 2 - X-Men - Who Framed Roger Rabbit?
371,L.A. Confidential - Go - Jackie Brown
372,"Shining, The - Ghostbusters - Gremlins"
373,"Fugitive, The - Matrix, The - Terminator 2: Judgment Day"
374,Fargo - L.A. Confidential - Bonnie and Clyde
375,"Rocky - Midnight Express - Paper Chase, The"
376,Bullets Over Broadway - Little Women - 8 1/2 Women
377,"39 Steps, The - Shallow Grave - Spanish Prisoner, The"
378,"Terminator 2: Judgment Day - Lock, Stock & Two Smoking Barrels - Iron Giant, The"
379,Forever Young - Four Weddings and a Funeral - Grease
380,True Lies - Ruthless People - Romancing the Stone
381,Fantastic Voyage - Space Cowboys - Escape from New York
382,Big Daddy - Big - Big Night
383,"Talented Mr. Ripley, The - What Lies Beneath"
384,"Alvarez Kelly - Dorado, El"
385,I Still Know What You Did Last Summer - Seven Samurai (The Magnificent Seven) (Shichinin no samurai) - Star Wars: Episode V - The Empire Strikes Back
386,Moonstruck - Roger & Me - Monty Python's Life of Brian
387,Hook - Psycho - Frankenstein
388,Brighton Beach Memoirs - Beetlejuice - On Golden Pond
389,Pitch Black - Keeping the Faith - Return to Me
390,Chinatown - Touch of Evil - Rear Window
391,Pale Rider - Three Amigos! - Young Guns
392,"Quick and the Dead, The - Three Amigos! - Wizard of Oz, The"
393,Edward Scissorhands - Say Anything... - Hana-bi
394,"From Dusk Till Dawn - Mummy, The - GoldenEye"
395,Clueless - As Good As It Gets
396,Benny & Joon - Maverick - Mrs. Doubtfire
397,When Harry Met Sally... - Back to the Future - Toy Story 2
398,"Pi - Rocky Horror Picture Show, The - Net, The"
399,"Romy and Michele's High School Reunion - Rushmore - Sixth Sense, The"
400,"Sixth Sense, The - Terminator 2: Judgment Day - Matrix, The"
401,Con Air - Conspiracy Theory - Courage Under Fire
402,Mystery Men - Renaissance Man - Life with Mikey
403,Snow Falling on Cedars - Three Kings - Old Yeller
404,"Truman Show, The - Donnie Brasco - Bronx Tale, A"
405,"Money Pit, The - Renaissance Man - Speechless"
406,Young Frankenstein - Menace II Society - Big
407,"French Connection, The - Bonnie and Clyde - Limey, The"
408,"Me, Myself and Irene - JFK - Fugitive, The"
409,Eyes Wide Shut - Scream 3 - Dolores Claiborne
410,Mallrats - What About Bob? - Pretty in Pink
411,"Winslow Boy, The - Six Degrees of Separation - Braveheart"
412,"Stripes - Terminator, The - That Thing You Do!"
413,Toy Story - Aladdin - Toy Story 2
414,"Devil's Advocate, The - Talented Mr. Ripley, The - Jacob's Ladder"
415,Raging Bull - Raising Arizona - Star Wars: Episode V - The Empire Strikes Back
416,"White Squall - Who Framed Roger Rabbit? - Christmas Story, A"
417,"Fox and the Hound, The - Who Framed Roger Rabbit?"
418,"Silence of the Lambs, The - Graduate, The - Toy Story"
419,"Hamlet - Abyss, The - Bug's Life, A"
420,"Women on the Verge of a Nervous Breakdown - Arsenic and Old Lace - Wizard of Oz, The"
421,Murder at 1600 - Absolute Power
422,"Cell, The - Bug's Life, A - Chinatown"
423,"Summer of Sam - South Park: Bigger, Longer and Uncut - Story of Us, The"
424,Jefferson in Paris - Never Cry Wolf - Picnic at Hanging Rock
425,"Birdcage, The - Honeymoon in Vegas - Working Girl"
426,"Payback - Siege, The - Bad Boys"
427,"Mission: Impossible - Rocky Horror Picture Show, The - Perfect Storm, The"
428,Like Water for Chocolate (Como agua para chocolate) - Clueless - West Side Story
429,"Cop Land - Sister Act - Devil's Advocate, The"
430,Dying Young - Inventing the Abbotts - My Best Friend's Wedding
431,Terminator 2: Judgment Day - Jaws - Die Hard
432,Come See the Paradise - Picture Perfect - She's the One
433,"Runaway Bride - Other Sister, The - Sommersby"
434,"Bug's Life, A - 101 Dalmatians - Toy Story"
435,Moonraker - First Blood - Falling Down
436,"Titan A.E. - Stargate - Rocky Horror Picture Show, The"
437,Platoon - Star Wars: Episode V - The Empire Strikes Back - Patton
438,Die Hard - Indiana Jones and the Last Crusade - Rain Man
439,"Michael - Phenomenon - English Patient, The"
440,"Full Monty, The - Grosse Pointe Blank - American President, The"
441,Citizen Kane - Babe - Pulp Fiction
442,Sliding Doors - So I Married an Axe Murderer - Top Gun
443,Kiss of Death - Citizen Kane - Casablanca
444,"Dirty Dozen, The - Longest Day, The - Them!"
445,"Stigmata - Sleepy Hollow - Sixth Sense, The"
446,"My Life as a Dog (Mitt liv som hund) - Monty Python and the Holy Grail - Iron Giant, The"
447,Steamboat Willie - Cinderella - Dumbo
448,She's All That - Stigmata
449,"Fright Night - American Werewolf in London, An - Village of the Damned"
450,"Monty Python and the Holy Grail - Who Framed Roger Rabbit? - Exorcist, The"
451,"Bull Durham - American in Paris, An - Sophie's Choice"
452,Scent of a Woman - Fried Green Tomatoes - Titanic
453,"Casablanca - Sixth Sense, The - Fisher King, The"
454,Ghostbusters - Stand by Me - Beetlejuice
455,American Graffiti - Butch Cassidy and the Sundance Kid
456,"Name of the Rose, The - Basic Instinct - Snake Eyes"
457,Searching for Bobby Fischer - Casino - American History X
458,"Lost World: Jurassic Park, The - Perfect Storm, The - Any Given Sunday"
459,"She's All That - Sixth Sense, The - Shakespeare in Love"
460,"Austin Powers: International Man of Mystery - Full Monty, The - Galaxy Quest"
461,"Wizard of Oz, The - Princess Bride, The - Adventures of Robin Hood, The"
462,"Goonies, The - Antz - Love Bug, The"
463,"Threesome - Apple Dumpling Gang, The - My Blue Heaven"
464,Trainspotting - Shall We Dance? (Shall We Dansu?) - Alice in Wonderland
465,Heavenly Creatures - Being John Malkovich - Delicatessen
466,Touch of Evil - Double Indemnity - Chinatown
467,"Batman - Princess Bride, The - Star Wars: Episode VI - Return of the Jedi"
468,"Starman - Schindler's List - Last of the Mohicans, The"
469,"Sting, The - M*A*S*H - American Beauty"
470,"Bedknobs and Broomsticks - Little Mermaid, The - Muppet Christmas Carol, The"
471,Tron - Stargate - Star Trek: The Motion Picture
472,"Shawshank Redemption, The - Glengarry Glen Ross - Silence of the Lambs, The"
473,Roman Holiday - Cinderella - Lady and the Tramp
474,"That Darn Cat! - Craft, The - Female Perversions"
475,"'burbs, The - Action Jackson - Toxic Avenger, The"
